lnp_id,ionizable_lipid,helper_lipid,sterol_lipid,peg_lipid,lipid_molar_ratio,target_type,nucleic_acid_sequence,ionizable_lipid_smiles,helper_lipid_smiles,sterol_lipid_smiles,peg_lipid_smiles,size_mean,size_sd,size_flag,pdi_mean,pdi_sd,pdi_flag,ee_mean,ee_sd,ee_flag,zeta_mean,zeta_sd,zeta_flag,ratio_type,ratio_value,ratio_cargo,synthesis_info,bioactivity_profile,transfection_raw,transfection_unit,transfection_pctile,paper_doi,paper_title,paper_authors,paper_journal,paper_year,ionizable_lipid_original,helper_lipid_original,sterol_lipid_original,peg_lipid_original
1,Custom lipid,DOPE,cholesterol,DMG-PEG2000,60:20:19.5:0.5,mRNA,"firefly_luciferase, cre_recombinase",,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,108.0,2.1,,0.19,0.01,,92.08,2.5,,-2.28,,,,,,"synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: dialysis against PBS, 20,000 MWCO; sterilization: ; storage_buffer: PBS at 4¡ÆC","cell_line: HeLa, C2C12; animal_model: C57BL/6 mice, ROSAmT/mG reporter mice; administration_route: intramuscular (IM); dose: 0.5 mg/kg mRNA; gene_expression_result: 7.8x higher than MC3 in muscle; biodistribution_result: muscle-specific, lower liver accumulation; toxicity_profile: lower ALT/AST levels than ALC-0315",7.8,fold_change,,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,(Z)-5-(octadec-9-en-1-ylamino)-5-oxo-4-(piperidin-1-ylamino)pentyl octanoate,DOPE,cholesterol,DMG-PEG2000
2,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCCCCC/C=C/CCCCCCCCC(=O)N(N)CCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,134.6,,,0.14,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.81 (Log2) in vitro, 3.625E+04 in vivo",7.81,log2,0.875,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H1,DOPE,cholesterol,DMG-PEG2000
3,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCC(C)CCCC(=O)OCCC(N(C)N)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,138.0,,,0.14,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 6.32 (Log2) in vitro, 3.494E+04 in vivo",6.32,log2,0.65625,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H2,DOPE,cholesterol,DMG-PEG2000
4,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCCC/C=C/CCCCCCCCC(N(C)N)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,108.7,,,0.09,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.01 (Log2) in vitro, 1.941E+04 in vivo",7.01,log2,0.75,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H3,DOPE,cholesterol,DMG-PEG2000
5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCC(C)CCCC(=O)OCCC(NCCCCN(CCCC)CCCCC)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,110.0,,,0.17,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.63 (Log2) in vitro, 4.065E+04 in vivo",7.63,log2,0.8125,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H4,DOPE,cholesterol,DMG-PEG2000
6,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCCCCC/C=C/CCCCCCCCC(NCCCCN(CCCC)CCCCCC)C(=O)NCCCCCCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,122.6,,,0.14,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 9.95 (Log2) in vitro, 1.384E+05 in vivo",9.95,log2,0.96875,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H5,DOPE,cholesterol,DMG-PEG2000
7,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCCCC/C=C/C(=O)OCCC(NCCCCN(CCCC)CCCCCC)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,119.9,,,0.15,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 9.61 (Log2) in vitro, 3.299E+04 in vivo",9.61,log2,0.9375,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H6,DOPE,cholesterol,DMG-PEG2000
8,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCC(C)CCCC(=O)OCCC(NN1CCCCCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,134.8,,,0.01,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 5.43 (Log2) in vitro, 7.301E+04 in vivo",5.43,log2,0.40625,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H7,DOPE,cholesterol,DMG-PEG2000
9,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCCCC/C=C/C(=O)OCCC(NN1CCCCCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,132.9,,,0.09,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 4.09 (Log2) in vitro, 1.892E+04 in vivo",4.09,log2,0.375,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H8,DOPE,cholesterol,DMG-PEG2000
10,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCC(C)CCC(=O)OCCC(NCCN(C(C)C)C(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,127.5,,,0.15,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 6.51 (Log2) in vitro, 3.379E+04 in vivo",6.51,log2,0.6875,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H10,DOPE,cholesterol,DMG-PEG2000
11,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCCC/C=C/C(=O)OCCC(NCCN(C(C)C)C(C)C)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,151.0,,,0.16,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.77 (Log2) in vitro, 5.005E+05 in vivo",7.77,log2,0.84375,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H11,DOPE,cholesterol,DMG-PEG2000
12,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35:16:46.5:2.5,mRNA,firefly_luciferase,CCCCCC(C)CCCC(=O)OCCC(NCCN(C(C)C)C(C)C)C(=O)NCCCCCCCCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,147.5,,,0.17,,,,,,,,,,,,synthesis_method: 3CR-Ugi reaction; device_used: Automated liquid handler (OT-2); total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citrate buffer; organic_phase_composition: ethanol with lipid components; mixing_time_sec: overnight; temperature_condition: room temperature; post_processing: ; sterilization: ; storage_buffer: ,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 10.15 (Log2) in vitro, 4.675E+04 in vivo",10.15,log2,1.0,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,"['Yue Xu', 'Shihao Ma', 'Haotian Cui', 'Jingan Chen', 'Shufen Xu', 'Fanglin Gong', 'Alex Golubovic', 'Muye Zhou', 'Kevin Chang Wang', 'Andrew Varley', 'Rick Xing Ze Lu', 'Bo Wang', 'Bowen Li']",Nature Communications,2024.0,H12,DOPE,cholesterol,DMG-PEG2000
